"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2025/12/05 13:34:05","XRP","預入","0","XRP","18.999991","0","324.285","","0","0","","","CDP20251205-043405-555314",""
"2025/12/04 22:24:32","XRP","外部送付","0","XRP","-20","0","331.28","","0","0","","","CWD20251204-132432-465911",""
"2025/12/04 22:22:53","XRP/JPY","買い","332.92","XRP","30","-0.045","332.92","JPY","-9,988","-14","10%","媒介","JOR20251204-132253-993614X",""
"2025/12/04 22:15:14","JPY","入金","0","JPY","10,000","0","0","","0","0","","","MDP20251204-131514-280596",""
"2025/09/29 19:49:03","BTC","送付手数料","0","BTC","-0.0004","0","16,966,586","","0","-6,786","10%","","CWD20250929-104903-610385F",""
"2025/09/29 19:49:03","BTC","外部送付","0","BTC","-0.05621688","0","16,966,586","","0","0","","","CWD20250929-104903-610385",""
"2025/09/29 16:18:53","BTC","送付手数料","0","BTC","-0.0004","0","16,966,586","","0","-6,786","10%","","CWD20250929-071853-499945F",""
"2025/09/29 16:18:53","BTC","外部送付","0","BTC","-0.1","0","16,966,586","","0","0","","","CWD20250929-071853-499945",""
"2025/09/29 16:13:40","BTC","送付手数料","0","BTC","0.0004","0","16,966,586","","0","6,786","10%","","CWD20250929-071340-397819F",""
"2025/09/29 16:13:40","BTC","外部送付","0","BTC","0.1","0","16,966,586","","0","0","","","CWD20250929-071340-397819",""
"2025/09/29 12:31:19","BTC","送付手数料","0","BTC","-0.0004","0","16,966,586","","0","-6,786","10%","","CWD20250929-033119-907869F",""
"2025/09/29 12:31:19","BTC","外部送付","0","BTC","-0.1","0","16,966,586","","0","0","","","CWD20250929-033119-907869",""
"2025/09/28 20:14:02","BTC","送付手数料","0","BTC","-0.0004","0","16,437,620","","0","-6,575","10%","","CWD20250928-111402-815485F",""
"2025/09/28 20:14:02","BTC","外部送付","0","BTC","-0.1","0","16,437,620","","0","0","","","CWD20250928-111402-815485",""
"2024/12/03 10:28:42","JPY","出金手数料","0","JPY","-770","0","0","","0","-770","10%","","MWD20241203-012842-067585F",""
"2024/12/03 10:28:42","JPY","出金","0","JPY","-239,213","0","0","","0","0","","","MWD20241203-012842-067585",""
"2024/12/03 10:27:07","JPY","証拠金引出","0","JPY","239,983","0","0","","0","0","","","CAC20241203-012706-070485",""
"2024/02/22 17:52:04","JPY","証拠金預入","0","JPY","-219,387","0","0","","0","0","","","POC20240222-085204-339396",""
"2024/02/22 13:00:02","JPY","証拠金引出","0","JPY","30,102","0","0","","0","0","","","CAC20240222-040002-064723",""
"2024/02/22 12:59:52","BTC","証拠金引出","0","BTC","0.08820782","0","7,740,000","","0","0","","","CAC20240222-035952-064710",""
"2024/02/09 19:03:00","BTC","預入","0","BTC","0.0025257","0","7,010,295","","0","0","","","CDP20240209-100300-774263",""
"2022/09/16 17:16:23","BTC","預入","0","BTC","0.12942902","0","2,814,679","","0","","","","CDP20220916-081623-566451",""
"2022/01/25 19:14:01","BTC","受取","0","BTC","0.00301581","0","4,138,384","","0","","","","ECR20220125-101401-398693","株式会社オズビジョン "
"2021/11/11 01:25:16","BTC/JPY","売り","7,780,000","BTC","-0.015","-0.000021","7,780,000","JPY","116,700","","","媒介","JOR20211110-160108-855239",""
"2021/10/20 00:30:50","JPY","手数料","0","JPY","-770","0","0","","0","","","","MWD20211019-153050-371447F",""
"2021/10/20 00:30:50","JPY","出金","0","JPY","-200,000","0","0","","0","","","","MWD20211019-153050-371447",""
"2021/10/18 17:40:44","BTC/JPY","売り","7,060,000","BTC","-0.02","-0.00003","7,060,000","JPY","141,200","","","媒介","JOR20211018-084012-609749",""
"2021/10/18 17:28:20","BTC","預入","0","BTC","0.0595","0","7,080,835","","0","","","","CDP20211018-082820-024007",""
"2021/10/07 08:12:20","BTC/JPY","売り","6,200,000","BTC","-0.01","-0.000015","6,200,000","JPY","62,000","","","媒介","JOR20211006-172732-811126",""
"2021/09/07 02:57:45","BTC","受取","0","BTC","0.00000088","0","5,309,441","","0","","","","REC20210906-175745-026272","bitFlyer Login Bonus(2021/09/07)"
"2021/08/22 13:09:45","BTC/JPY","売り","5,360,000","BTC","-0.01","-0.000015","5,360,000","JPY","53,600","","","媒介","JOR20210822-035706-159562",""
"2021/08/10 09:07:08","JPY","手数料","0","JPY","-770","0","0","","0","","","","MWD20210810-000708-059958F",""
"2021/08/10 09:07:08","JPY","出金","0","JPY","-250,000","0","0","","0","","","","MWD20210810-000708-059958",""
"2021/08/10 09:05:27","BTC/JPY","売り","5,110,000","BTC","-0.01","-0.000015","5,110,000","JPY","51,100","","","媒介","JOR20210810-000106-455572",""
"2021/08/06 04:12:15","BTC/JPY","売り","4,512,557","BTC","-0.01","-0.000015","4,512,557","JPY","45,125","","","媒介","JOR20210804-214348-038075",""
"2021/06/17 06:02:30","BTC","受取","0","BTC","0.00000116","0","4,289,317","","0","","","","REC20210616-210230-739798","bitFlyer Login Bonus(2021/06/17)"
"2021/05/10 06:11:08","BTC/JPY","売り","6,302,000","BTC","-0.01","-0.000015","6,302,000","JPY","63,020","","","媒介","JOR20210509-210817-154907",""
"2021/04/21 14:43:33","JPY","手数料","0","JPY","-770","0","0","","0","","","","MWD20210421-054333-759673F",""
"2021/04/21 14:43:33","JPY","出金","0","JPY","-250,000","0","0","","0","","","","MWD20210421-054333-759673",""
"2021/04/12 10:16:23","BTC/JPY","売り","6,590,000","BTC","-0.01","-0.000014","6,590,000","JPY","65,900","","","媒介","JOR20210412-005821-537960",""
"2021/04/08 09:52:14","BTC/JPY","売り","6,210,000","BTC","-0.001","-0.0000013","6,210,000","JPY","6,210","","","媒介","JOR20210407-235935-881108",""
"2021/04/08 09:52:14","BTC/JPY","売り","6,210,000","BTC","-0.009","-0.0000117","6,210,000","JPY","55,890","","","媒介","JOR20210407-235935-881108",""
"2021/03/30 06:46:04","BTC/JPY","売り","6,305,000","BTC","-0.005","-0.0000065","6,305,000","JPY","31,525","","","媒介","JOR20210329-214556-628525",""
"2021/03/29 21:39:11","BTC","預入","0","BTC","0.06993","0","6,363,732","","0","","","","CDP20210329-123911-723151",""
"2021/03/29 16:07:01","BTC/JPY","売り","6,080,000","BTC","-0.005","-0.0000065","6,080,000","JPY","30,400","","","媒介","JOR20210329-033729-896758",""
"2021/03/15 08:03:08","BTC/JPY","売り","6,579,000","BTC","-0.005","-0.0000055","6,579,000","JPY","32,895","","","媒介","JOR20210314-230308-590366",""
"2021/03/15 08:01:44","BTC","証拠金引出","0","BTC","0.02","0","6,150,000","","0","","","","CAC20210314-230144-149351",""
"2021/03/10 22:13:58","BTC/JPY","売り","6,010,000","BTC","-0.005","-0.0000055","6,010,000","JPY","30,050","","","媒介","JOR20210310-021119-212808",""
"2021/03/09 12:22:25","BTC/JPY","売り","5,850,000","BTC","-0.005","-0.0000055","5,850,000","JPY","29,250","","","媒介","JOR20210309-022120-492998",""
"2021/03/07 18:38:19","BTC/JPY","売り","5,500,000","BTC","-0.005","-0.0000055","5,500,000","JPY","27,500","","","媒介","JOR20210306-065947-977766",""
"2021/03/06 15:58:34","BTC","証拠金引出","0","BTC","0.015","0","5,153,000","","0","","","","CAC20210306-065834-066508",""
"2021/02/25 10:08:58","JPY","手数料","0","JPY","-770","0","0","","0","","","","MWD20210225-010858-438877F",""
"2021/02/25 10:08:58","JPY","出金","0","JPY","-350,000","0","0","","0","","","","MWD20210225-010858-438877",""
"2021/02/25 10:08:07","JPY","証拠金引出","0","JPY","98,871","0","0","","0","","","","CAC20210225-010807-093521",""
"2021/02/20 03:33:44","BTC/JPY","売り","5,790,000","BTC","-0.005","-0.0000055","5,790,000","JPY","28,950","","","媒介","JOR20210219-163852-408375",""
"2021/02/20 01:37:08","BTC","証拠金引出","0","BTC","0.01","0","5,965,266","","0","","","","CAC20210219-163707-008144",""
"2021/02/16 07:54:26","BTC/JPY","売り","5,080,000","BTC","-0.005","-0.000006","5,080,000","JPY","25,400","","","自己","JOR20210215-225039-318137",""
"2021/02/16 07:52:28","BTC","証拠金預入","0","BTC","-0.0499775","0","5,193,872","","0","","","","POC20210215-225228-075365",""
"2021/02/16 07:49:34","BTC","証拠金引出","0","BTC","0.05","0","5,193,872","","0","","","","CAC20210215-224934-119442",""
"2021/02/09 06:57:31","BTC/JPY","売り","4,700,000","BTC","-0.005","-0.0000065","4,700,000","JPY","23,500","","","媒介","JOR20210208-151225-193922",""
"2021/02/06 10:18:30","BTC/JPY","売り","4,100,000","BTC","-0.005","-0.000005","4,100,000","JPY","20,500","","","媒介","JOR20210206-011438-698451",""
"2021/02/06 10:12:58","BTC","証拠金引出","0","BTC","0.01","0","4,238,653","","0","","","","CAC20210206-011258-194956",""
"2021/02/04 17:14:27","BTC/JPY","売り","4,000,000","BTC","-0.005","-0.000005","4,000,000","JPY","20,000","","","媒介","JOR20210129-143320-827401",""
"2021/01/29 23:31:41","BTC","証拠金引出","0","BTC","0.01","0","3,860,570","","0","","","","CAC20210129-143141-116877",""
"2020/07/31 07:56:35","BTC/JPY","売り","1,166,593","BTC","-0.15664833","-0.00023497","1,166,593","JPY","182,744","","","媒介","JOR20200730-225634-624011",""
"2020/07/31 06:05:22","BTC","預入","0","BTC","0.10634965","0","1,189,800","","0","","","","CDP20200730-210522-076620",""
"2019/12/25 13:33:42","JPY","受取","0","JPY","35","0","0","","0","","","","REC20191225-043342-757297","bitFlyer ハードフォークによる付与（0.06045921 BTG）"
"2019/10/22 00:39:26","BTC","受取","0","BTC","0.000005","0","890,100","","0","","","","REC20191021-153926-380874","bitFlyer Login Bonus(2019/10/22)"
"2019/06/02 09:51:32","BTC","預入","0","BTC","0.03308732","0","941,686","","0","","","","CDP20190602-005132-453730",""
"2019/05/10 00:08:41","BTC","受取","0","BTC","0.000005","0","687,488","","0","","","","REC20190509-150841-187372","bitFlyer Login Bonus(2019/05/10)"
"2019/03/06 15:45:36","BTC","手数料","0","BTC","-0.0004","0","428,282","","0","","","","CWD20190306-064536-581480F",""
"2019/03/06 15:45:36","BTC","外部送付","0","BTC","-0.05","0","428,282","","0","","","","CWD20190306-064536-581480",""
"2019/03/06 15:21:11","BTC","預入","0","BTC","0.06783633","0","428,282","","0","","","","CDP20190306-062111-525013",""
"2019/03/06 14:29:17","BTC","証拠金預入","0","BTC","-0.1562883","0","428,282","","0","","","","POC20190306-052917-405512",""
"2018/11/13 19:46:08","BTC","預入","0","BTC","0.03809835","0","716,480","","0","","","","CDP20181113-104608-426067",""
"2018/09/06 16:44:32","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20180906-074432-185555F",""
"2018/09/06 16:44:32","JPY","出金","0","JPY","-37,732","0","0","","0","","","","MWD20180906-074432-185555",""
"2018/08/23 00:31:11","BTC","受取","0","BTC","0.000005","0","715,800","","0","","","","REC20180822-153111-572097","bitFlyer Login Bonus(2018/08/23)"
"2018/08/11 00:03:28","BTC","受取","0","BTC","0.000005","0","680,791","","0","","","","REC20180810-150328-249415","bitFlyer Login Bonus(2018/08/11)"
"2018/08/01 00:20:17","BTC","受取","0","BTC","0.000005","0","846,336","","0","","","","REC20180731-152017-333866","bitFlyer Login Bonus(2018/08/01)"
"2018/07/25 18:30:10","BTC","預入","0","BTC","0.05320887","0","907,370","","0","","","","CDP20180725-093010-378244",""
"2018/07/25 10:01:38","BTC","預入","0","BTC","0.06496608","0","907,370","","0","","","","CDP20180725-010138-137878",""
"2018/07/17 13:40:38","BTC","証拠金預入","0","BTC","-0.19069494","0","756,400","","0","","","","POC20180717-044038-643770",""
"2018/07/10 06:15:57","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20180709-211557-043747F",""
"2018/07/10 06:15:57","JPY","出金","0","JPY","-300,000","0","0","","0","","","","MWD20180709-211557-043747",""
"2018/04/16 15:13:22","BTC","預入","0","BTC","0.05784346","0","858,847","","0","","","","CDP20180416-061322-991258",""
"2018/04/16 12:14:30","BTC","預入","0","BTC","0.09834648","0","858,847","","0","","","","CDP20180416-031430-520145",""
"2018/04/14 00:01:35","BTC","受取","0","BTC","0.000005","0","858,218","","0","","","","REC20180413-150135-216524","bitFlyer Login Bonus(2018/04/14)"
"2018/03/28 17:59:23","BTC","手数料","0","BTC","-0.0004","0","842,999","","0","","","","CWD20180328-085923-661871F",""
"2018/03/28 17:59:23","BTC","外部送付","0","BTC","-0.015","0","842,999","","0","","","","CWD20180328-085923-661871",""
"2018/02/27 20:17:18","BTC","預入","0","BTC","0.0499","0","1,146,361","","0","","","","CDP20180227-111718-869793",""
"2018/01/15 09:57:51","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20180115-005751-522051F",""
"2018/01/15 09:57:51","JPY","出金","0","JPY","-40,000","0","0","","0","","","","MWD20180115-005751-522051",""
"2017/12/26 09:05:09","BTC","証拠金預入","0","BTC","-0.00592086","0","1,800,000","","0","","","","POC20171226-000509-030454",""
"2017/12/24 06:06:30","BTC","預入","0","BTC","0.00591586","0","1,646,000","","0","","","","CDP20171223-210630-421042",""
"2017/12/23 01:15:16","BTC","受取","0","BTC","0.000005","0","1,807,999","","0","","","","REC20171222-161516-337978","bitFlyer Login Bonus(2017/12/23)"
"2017/12/22 17:59:27","BTC","証拠金預入","0","BTC","-0.00145245","0","1,470,000","","0","","","","POC20171222-085927-146730",""
"2017/12/20 00:05:00","BTC","受取","0","BTC","0.000005","0","2,017,430","","0","","","","REC20171219-150500-468889","bitFlyer Login Bonus(2017/12/20)"
"2017/12/17 00:09:14","BTC","受取","0","BTC","0.000005","0","2,235,540","","0","","","","REC20171216-150914-388712","bitFlyer Login Bonus(2017/12/17)"
"2017/12/17 00:00:58","JPY","証拠金引出","0","JPY","50,000","0","0","","0","","","","CAC20171216-150058-141402",""
"2017/12/14 00:28:24","JPY","証拠金引出","0","JPY","30,000","0","0","","0","","","","CAC20171213-152823-055175",""
"2017/12/14 00:03:24","BTC","受取","0","BTC","0.000005","0","1,906,994","","0","","","","REC20171213-150324-689582","bitFlyer Login Bonus(2017/12/14)"
"2017/12/13 08:44:41","JPY","証拠金引出","0","JPY","21,667","0","0","","0","","","","CAC20171212-234441-028756",""
"2017/12/13 00:04:39","BTC","受取","0","BTC","0.000005","0","1,946,108","","0","","","","REC20171212-150439-136908","bitFlyer Login Bonus(2017/12/13)"
"2017/12/12 12:19:53","MONA","預入","0","MONA","1.3","0","1,804.165","","0","","","","CDP20171212-031953-105817",""
"2017/12/12 07:00:19","JPY","証拠金引出","0","JPY","36,000","0","0","","0","","","","CAC20171211-220019-150599",""
"2017/12/05 10:53:47","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20171205-015347-443219F",""
"2017/12/05 10:53:47","JPY","出金","0","JPY","-150,000","0","0","","0","","","","MWD20171205-015347-443219",""
"2017/12/05 10:46:41","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20171205-014641-415504F",""
"2017/12/05 10:46:41","JPY","出金","0","JPY","-150,000","0","0","","0","","","","MWD20171205-014641-415504",""
"2017/12/02 00:14:49","BTC","受取","0","BTC","0.000005","0","1,229,275","","0","","","","REC20171201-151449-980502","bitFlyer Login Bonus(2017/12/02)"
"2017/12/01 10:23:55","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20171201-012355-962110F",""
"2017/12/01 10:23:55","JPY","出金","0","JPY","-150,000","0","0","","0","","","","MWD20171201-012355-962110",""
"2017/11/29 09:38:44","BTC","手数料","0","BTC","-0.0004","0","1,295,023","","0","","","","CWD20171129-003844-171695F",""
"2017/11/29 09:38:44","BTC","外部送付","0","BTC","-0.04817255","0","1,295,023","","0","","","","CWD20171129-003844-171695",""
"2017/11/29 09:37:43","BTC","証拠金引出","0","BTC","0.05","0","1,295,023","","0","","","","CAC20171129-003745-135752",""
"2017/11/28 10:33:24","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20171128-013324-419932F",""
"2017/11/28 10:33:24","JPY","出金","0","JPY","-50,000","0","0","","0","","","","MWD20171128-013324-419932",""
"2017/11/25 22:07:20","JPY","証拠金引出","0","JPY","500,000","0","0","","0","","","","CAC20171125-130719-037815",""
"2017/11/25 22:05:28","BTC","証拠金預入","0","BTC","-0.17017075","0","948,379","","0","","","","POC20171125-130528-905826",""
"2017/11/24 13:09:09","BTC","預入","0","BTC","0.10052176","0","911,269","","0","","","","CDP20171124-040908-992567",""
"2017/11/21 18:29:58","BTC","手数料","0","BTC","-0.0004","0","928,507","","0","","","","CWD20171121-092958-986444F",""
"2017/11/21 18:29:58","BTC","外部送付","0","BTC","-0.044","0","928,507","","0","","","","CWD20171121-092958-986444",""
"2017/11/21 18:27:52","ETH","外部送付","0","ETH","-0.12040069","0","41,522.83304","","0","","","","CWD20171121-092752-979137",""
"2017/11/17 08:25:28","JPY","証拠金引出","0","JPY","225,597","0","0","","0","","","","CAC20171116-232527-223432",""
"2017/11/15 21:47:11","BTC","証拠金引出","0","BTC","0.1","0","810,900","","0","","","","CAC20171115-124711-195811",""
"2017/11/13 10:17:12","BTC","証拠金預入","0","BTC","-0.1","0","746,593","","0","","","","POC20171113-011712-916187",""
"2017/11/13 10:16:34","BTC/JPY","買い","671,000","BTC","0.05","-0.000015","671,000","JPY","-33,550","","","媒介","JOR20171113-011558-484571",""
"2017/11/13 10:11:37","JPY","手数料","0","JPY","-324","0","0","","0","","","","MDP20171113-011137-894818F",""
"2017/11/13 10:11:37","JPY","入金","0","JPY","50,324","0","0","","0","","","","MDP20171113-011137-894818",""
"2017/11/11 07:41:57","BTC/JPY","買い","753,000","BTC","0.03","-0.000009","753,000","JPY","-22,590","","","媒介","JOR20171110-221543-828302",""
"2017/10/30 13:00:50","ETH/JPY","買い","41,528","ETH","0.12040069","0","41,528","JPY","-5,000","","","自己","GUC20171030-040050-381251",""
"2017/10/30 13:00:50","JPY","入金","0","JPY","5,000","0","0","","0","","","","MDC20171030-040050-381248",""
"2017/10/28 02:27:47","ETH","外部送付","0","ETH","-2.5","0","33,473.46065","","0","","","","CWD20171027-172747-107511",""
"2017/10/28 02:25:45","ETH/JPY","買い","37,126","ETH","2.5","0","37,126","JPY","-92,815","","","自己","BFF20171027-172545-100887",""
"2017/10/28 02:22:53","JPY","証拠金引出","0","JPY","70,000","0","0","","0","","","","CAC20171027-172253-001505",""
"2017/10/27 23:16:59","BTC","手数料","0","BTC","-0.0004","0","652,001","","0","","","","CWD20171027-141659-269169F",""
"2017/10/27 23:16:59","BTC","外部送付","0","BTC","-0.01860297","0","652,001","","0","","","","CWD20171027-141659-269169",""
"2017/10/25 14:19:18","BTC","手数料","0","BTC","-0.0004","0","616,930","","0","","","","CWD20171025-051918-532791F",""
"2017/10/25 14:19:18","BTC","外部送付","0","BTC","-0.10693325","0","616,930","","0","","","","CWD20171025-051918-532791",""
"2017/10/25 14:15:58","BTC/JPY","買い","613,557","BTC","0.1","-0.00005","613,557","JPY","-61,356","","","媒介","JOR20171025-051558-854938",""
"2017/10/22 00:29:14","BTC","受取","0","BTC","0.000005","0","679,898","","0","","","","REC20171021-152914-249878","bitFlyer Login Bonus(2017/10/22)"
"2017/10/13 16:16:02","BTC/JPY","売り","629,000","BTC","-0.04","-0.000028","629,000","JPY","25,160","","","媒介","JOR20171013-071444-662137",""
"2017/10/11 19:13:13","BTC/JPY","売り","541,000","BTC","-0.04","-0.000028","541,000","JPY","21,640","","","自己","JOR20171011-045531-759707",""
"2017/10/08 22:27:41","BTC/JPY","売り","500,000","BTC","-0.01","-0.000009","500,000","JPY","5,000","","","媒介","JOR20170928-093237-798646",""
"2017/09/22 08:06:11","BTC","預入","0","BTC","0.10150408","0","403,953","","0","","","","CDP20170921-230610-458998",""
"2017/09/19 01:19:18","BTC","受取","0","BTC","0.000005","0","440,400","","0","","","","REC20170918-161918-587798","bitFlyer Login Bonus(2017/09/19)"
"2017/09/15 22:28:41","BTC/JPY","買い","410,697","BTC","0.0486977","0","410,697","JPY","-20,000","","","自己","GUC20170915-132841-525418",""
"2017/09/15 22:28:41","JPY","入金","0","JPY","20,000","0","0","","0","","","","MDC20170915-132841-525402",""
"2017/09/15 07:02:39","JPY","入金","0","JPY","10,000","0","0","","0","","","","MDP20170914-220239-858324",""
"2017/09/12 02:10:21","BTC","受取","0","BTC","0.000005","0","467,006","","0","","","","REC20170911-171021-751929","bitFlyer Login Bonus(2017/09/12)"
"2017/08/31 02:22:09","BTC","手数料","0","BTC","-0.0005","0","521,001","","0","","","","CWD20170830-172209-352536F",""
"2017/08/31 02:22:09","BTC","外部送付","0","BTC","-0.002","0","521,001","","0","","","","CWD20170830-172209-352536",""
"2017/08/31 02:14:12","BTC/JPY","買い","503,396","BTC","0.001","-0.000001","503,396","JPY","-504","","","媒介","JOR20170830-171222-698304",""
"2017/08/31 02:07:10","BTC/JPY","買い","503,855","BTC","0.0018","-0.0000018","503,855","JPY","-907","","","自己","JOR20170830-170558-678621",""
"2017/08/31 02:03:17","BTC","受取","0","BTC","0.000005","0","521,001","","0","","","","REC20170830-170317-293854","bitFlyer Login Bonus(2017/08/31)"
"2017/08/29 01:25:00","BTC","受取","0","BTC","0.000005","0","488,302","","0","","","","REC20170828-162500-916156","bitFlyer Login Bonus(2017/08/29)"
"2017/08/18 21:27:33","JPY","証拠金預入","0","JPY","-750,000","0","0","","0","","","","POC20170818-122733-124983",""
"2017/08/18 15:31:57","BTC/JPY","売り","473,210","BTC","-0.09970112","-0.00014955","473,210","JPY","47,179","","","媒介","JOR20170818-063157-519932",""
"2017/08/18 15:20:56","BTC/JPY","買い","473,050","BTC","0.06","-0.00009","473,050","JPY","-28,383","","","媒介","JOR20170818-062056-484434",""
"2017/08/18 15:20:56","BTC/JPY","買い","473,080","BTC","0.04","-0.00006","473,080","JPY","-18,924","","","媒介","JOR20170818-062056-484434",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,001","BTC","-0.00486108","-0.0000073","473,001","JPY","2,300","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,020","BTC","-0.00003743","-0.00000006","473,020","JPY","18","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,000","BTC","-0.08367722","-0.0001255","473,000","JPY","39,579","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:28","BTC/JPY","売り","473,083","BTC","-0.01082427","-0.00001624","473,083","JPY","5,121","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:02:29","BTC/JPY","売り","474,185","BTC","-0.1","-0.00015","474,185","JPY","47,418","","","媒介","JOR20170818-060228-427685",""
"2017/08/18 14:57:09","BTC/JPY","買い","473,248","BTC","0.05597992","-0.00008396","473,248","JPY","-26,493","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:57:09","BTC/JPY","買い","473,248","BTC","0.05701806","-0.00008553","473,248","JPY","-26,983","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:57:09","BTC/JPY","買い","472,985","BTC","0.08700202","-0.00013051","472,985","JPY","-41,150","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:51:57","JPY","手数料","0","JPY","-324","0","0","","0","","","","MDP20170818-055157-061204F",""
"2017/08/18 14:51:57","JPY","入金","0","JPY","800,324","0","0","","0","","","","MDP20170818-055157-061204",""
